Name,Condition,Severity,Target scope,Target resource type,Signal type,Status
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain02,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain02,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain04,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain04,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain05,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain05,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain11,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain11,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain12,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain12,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain12,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain12,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain13,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain13,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain14,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain14,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain15,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain15,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain16,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain16,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain17,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain17,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain18,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain18,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain21,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain21,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain22,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain22,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain23,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain23,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain24,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain24,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain25,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain25,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-ppa-ew1-ain26,Failure Anomalies detected,Sev3,z-aas-plex-plex-ppa-ew1-ain26,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain11,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain11,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain12,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain12,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain13,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain13,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain14,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain14,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain15,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain15,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain16,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain16,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain17,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain17,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-en1-ain18,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-en1-ain18,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-ew1-ain01,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-ew1-ain01,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-ew1-ain02,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-ew1-ain02,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
Failure Anomalies - z-aas-plex-plex-pra-ew1-ain03,Failure Anomalies detected,Sev3,z-aas-plex-plex-pra-ew1-ain03,Application Insights,microsoft.alertsmanagement/smartdetectoralertrules,Enabled
